init	N	seed	n_pairs	CMMD	realism_sib	base_sib	nn_vgg
base	10	0	10	21.9392	0.6739	0.3232	0.6548
generalist	10	0	10	21.5709	0.7971	0.3232	0.7162
base	10	1	10	24.0914	0.6719	0.3232	0.6509
generalist	10	1	10	22.4818	0.7506	0.3232	0.7044
base	10	2	10	22.2011	0.6962	0.3232	0.6534
generalist	10	2	10	18.5912	0.6964	0.3232	0.6433
base	25	0	25	22.7302	0.6407	0.3232	0.6151
generalist	25	0	25	23.4174	0.7134	0.3232	0.6588
base	25	1	25	18.5624	0.6131	0.3232	0.6305
generalist	25	1	25	24.1675	0.64	0.3232	0.631
base	25	2	25	19.1123	0.6855	0.3232	0.654
generalist	25	2	25	20.2155	0.584	0.3232	0.6183
base	50	0	50	16.6184	0.6203	0.3232	0.6237
generalist	50	0	50	21.3658	0.6228	0.3232	0.6178
base	50	1	50	13.1514	0.6607	0.3232	0.6297
generalist	50	1	50	25.4312	0.5754	0.3232	0.605
base	50	2	50	16.5408	0.5911	0.3232	0.6079
generalist	50	2	50	15.4585	0.6226	0.3232	0.6184
base	100	0	100	20.1745	0.586	0.3232	0.6247
generalist	100	0	100	22.4581	0.5963	0.3232	0.6143
base	100	1	100	17.9076	0.5906	0.3232	0.6322
generalist	100	1	100	25.4058	0.6267	0.3232	0.6252
base	100	2	100	17.2822	0.5783	0.3232	0.6173
generalist	100	2	100	19.7784	0.5682	0.3232	0.6104
base	250	0	250	17.0844	0.5787	0.3232	0.617
generalist	250	0	250	21.19	0.5679	0.3232	0.6211
base	250	1	250	21.6299	0.5832	0.3232	0.6069
generalist	250	1	250	18.5248	0.5823	0.3232	0.6158
base	250	2	250	22.8192	0.5792	0.3232	0.6114
generalist	250	2	250	23.1804	0.5975	0.3232	0.6181
base	0	0	720	16.7068	0.5704	0.3232	0.61
generalist	0	0	720	17.2	0.6099	0.3232	0.6245
base	0	1	720	15.7863	0.5845	0.3232	0.6176
generalist	0	1	720	17.9539	0.6048	0.3232	0.6269
base	0	2	720	17.1638	0.5632	0.3232	0.6027
generalist	0	2	720	16.7657	0.6262	0.3232	0.6293
