init	N	seed	n_pairs	CMMD	realism_sib	base_sib	nn_vgg
base	10	0	10	23.5727	0.6847	0.3232	0.6649
generalist	10	0	10	26.0655	0.8387	0.3232	0.737
base	10	1	10	21.9779	0.6771	0.3232	0.6553
generalist	10	1	10	26.5236	0.7193	0.3232	0.7165
base	10	2	10	21.8654	0.7076	0.3232	0.6594
generalist	10	2	10	23.3499	0.7819	0.3232	0.7138
base	25	0	25	21.499	0.6858	0.3232	0.6481
generalist	25	0	25	22.2929	0.7914	0.3232	0.684
base	25	1	25	21.0001	0.6638	0.3232	0.6461
generalist	25	1	25	21.3811	0.8048	0.3232	0.6777
base	25	2	25	21.8229	0.6768	0.3232	0.6284
generalist	25	2	25	21.4871	0.658	0.3232	0.6279
base	50	0	50	19.8574	0.6671	0.3232	0.6383
generalist	50	0	50	22.1554	0.655	0.3232	0.6363
base	50	1	50	16.6326	0.6599	0.3232	0.6199
generalist	50	1	50	21.8211	0.612	0.3232	0.6223
base	50	2	50	17.1655	0.6349	0.3232	0.6204
generalist	50	2	50	20.5022	0.6009	0.3232	0.6245
base	100	0	100	16.7565	0.6299	0.3232	0.6297
generalist	100	0	100	18.411	0.6137	0.3232	0.6274
base	100	1	100	16.3521	0.6224	0.3232	0.6293
generalist	100	1	100	24.1467	0.6003	0.3232	0.6124
base	100	2	100	18.7331	0.6278	0.3232	0.6331
generalist	100	2	100	19.8474	0.5808	0.3232	0.6212
base	250	0	250	21.8414	0.5788	0.3232	0.6242
generalist	250	0	250	20.6966	0.6042	0.3232	0.6298
base	250	1	250	20.3239	0.5744	0.3232	0.6155
generalist	250	1	250	19.02	0.5744	0.3232	0.6094
base	250	2	250	20.3158	0.5656	0.3232	0.6087
generalist	250	2	250	20.3483	0.5851	0.3232	0.616
base	0	0	720	25.1154	0.5899	0.3232	0.613
generalist	0	0	720	22.1616	0.5958	0.3232	0.6243
base	0	1	720	14.6071	0.5657	0.3232	0.6096
generalist	0	1	720	20.7925	0.5634	0.3232	0.6048
base	0	2	720	23.4898	0.6003	0.3232	0.6159
generalist	0	2	720	20.2855	0.5878	0.3232	0.6154
