mode	K	seed	n_train	row_acc	col_acc	joint_acc	atc_mae	iptg_mae	atc_r2	iptg_r2	best_val_joint
real	1	0	70	0.3269	0.3606	0.1106	0.1749	0.2751	0.5208	-0.0386	0.1244
classical	1	0	630	0.3317	0.3750	0.1106	0.1375	0.2204	0.6774	0.3162	0.1292
real	1	1	70	0.3125	0.3750	0.0962	0.2170	0.2913	0.3129	-0.0699	0.1340
classical	1	1	630	0.3510	0.3750	0.1202	0.1465	0.2024	0.6400	0.3720	0.1340
real	1	2	70	0.2788	0.4183	0.0913	0.2726	0.2733	0.0010	0.0044	0.1053
classical	1	2	630	0.3269	0.3750	0.0962	0.1563	0.2631	0.6435	0.0285	0.1292
real	1	3	70	0.3510	0.3654	0.1154	0.1784	0.2493	0.5042	0.0872	0.1244
classical	1	3	630	0.3269	0.4279	0.1298	0.1760	0.2420	0.5004	0.1343	0.1292
real	1	4	70	0.3510	0.3798	0.1106	0.2082	0.2762	0.3218	-0.0956	0.1292
classical	1	4	630	0.3173	0.3894	0.0962	0.1882	0.2671	0.5072	0.0010	0.1196
real	2	0	140	0.3606	0.3894	0.1538	0.1642	0.2087	0.6023	0.3659	0.1388
classical	2	0	1260	0.4087	0.4038	0.1923	0.1340	0.1799	0.7023	0.5410	0.2105
real	2	1	140	0.3413	0.4327	0.1827	0.1856	0.2217	0.5084	0.2993	0.1866
classical	2	1	1260	0.3942	0.3846	0.1731	0.1705	0.1841	0.5401	0.4845	0.1962
real	2	2	140	0.4087	0.3990	0.1635	0.2070	0.2321	0.3721	0.2847	0.1770
classical	2	2	1260	0.3702	0.3798	0.1538	0.1459	0.2004	0.6599	0.4632	0.1914
real	2	3	140	0.4038	0.4087	0.1731	0.1871	0.2397	0.4567	0.2070	0.2201
classical	2	3	1260	0.3990	0.4231	0.1875	0.1290	0.1547	0.7118	0.6304	0.2297
real	2	4	140	0.4087	0.4423	0.1827	0.1749	0.2227	0.5185	0.2916	0.1770
classical	2	4	1260	0.3510	0.4183	0.1394	0.1488	0.1536	0.6680	0.6183	0.2105
real	3	0	210	0.4375	0.4087	0.1731	0.1643	0.1952	0.5892	0.4674	0.1866
classical	3	0	1890	0.4327	0.4375	0.2212	0.1413	0.1464	0.6652	0.6262	0.2536
real	3	1	210	0.3942	0.4423	0.2067	0.1635	0.2041	0.5918	0.3701	0.2488
classical	3	1	1890	0.4327	0.4375	0.1971	0.1592	0.1423	0.5736	0.6178	0.2392
real	3	2	210	0.4135	0.4615	0.1923	0.1685	0.1947	0.5383	0.4482	0.2057
classical	3	2	1890	0.4231	0.4279	0.1923	0.1387	0.1496	0.6591	0.5920	0.2297
real	3	3	210	0.3750	0.4760	0.2019	0.1907	0.2051	0.4656	0.4120	0.2440
classical	3	3	1890	0.4279	0.4231	0.1875	0.1445	0.1705	0.6578	0.5664	0.2536
real	3	4	210	0.4087	0.4519	0.2308	0.1657	0.2001	0.5878	0.4237	0.2105
classical	3	4	1890	0.3798	0.4327	0.1971	0.1304	0.1511	0.7103	0.5943	0.2440
real	all	0	403	0.4038	0.5288	0.2115	0.1606	0.1526	0.5504	0.6253	0.2201
real	all	1	403	0.4375	0.5433	0.2308	0.1665	0.1857	0.5521	0.5207	0.2153
real	all	2	403	0.3942	0.5000	0.1923	0.1721	0.1603	0.5633	0.5968	0.2010
real	all	3	403	0.3894	0.5481	0.1923	0.1831	0.1735	0.5234	0.5424	0.2201
real	all	4	403	0.4183	0.5096	0.2260	0.1573	0.1720	0.5900	0.5854	0.2488
aug_mplexft	1	0	630	0.3365	0.3654	0.1010	0.2151	0.2138	0.3595	0.2751	0.1292
aug_general	1	0	630	0.3413	0.3221	0.1202	0.1935	0.2465	0.4237	0.1974	0.0957
aug_mplexft	1	1	630	0.3413	0.3606	0.1106	0.1644	0.2338	0.5944	0.2291	0.1148
aug_general	1	1	630	0.3365	0.3077	0.0721	0.1940	0.2064	0.4508	0.4161	0.0957
aug_mplexft	1	2	630	0.3173	0.3750	0.0962	0.1780	0.2970	0.5563	-0.0914	0.1340
aug_general	1	2	630	0.3798	0.3317	0.1250	0.2187	0.2161	0.2808	0.3325	0.1196
aug_mplexft	1	3	630	0.3077	0.3942	0.1202	0.1687	0.1995	0.5302	0.4015	0.1340
aug_general	1	3	630	0.3269	0.3269	0.0913	0.1920	0.2281	0.4685	0.2267	0.0957
aug_mplexft	1	4	630	0.3317	0.3846	0.1106	0.1925	0.2161	0.4774	0.2880	0.1148
aug_general	1	4	630	0.3173	0.3846	0.1058	0.1804	0.3203	0.5141	-0.1369	0.1388
aug_mplexft	2	0	1260	0.4183	0.4904	0.2115	0.1831	0.1620	0.5105	0.6150	0.1770
aug_general	2	0	1260	0.3846	0.4375	0.1587	0.2015	0.1774	0.4087	0.4904	0.1962
aug_mplexft	2	1	1260	0.3510	0.3894	0.1490	0.1514	0.1752	0.6501	0.5646	0.1627
aug_general	2	1	1260	0.3510	0.4663	0.1346	0.1737	0.1954	0.5745	0.4685	0.2010
aug_mplexft	2	2	1260	0.3942	0.4087	0.1683	0.1740	0.2179	0.5613	0.3543	0.1627
aug_general	2	2	1260	0.3894	0.4135	0.1346	0.1686	0.2163	0.5456	0.4090	0.1866
aug_mplexft	2	3	1260	0.3510	0.4279	0.1250	0.1501	0.2111	0.6287	0.3313	0.1818
aug_general	2	3	1260	0.3702	0.3942	0.1779	0.1372	0.1715	0.7036	0.5505	0.1962
aug_mplexft	2	4	1260	0.3365	0.3750	0.1202	0.1581	0.1715	0.6235	0.5329	0.1866
aug_general	2	4	1260	0.4183	0.3942	0.1731	0.1573	0.1825	0.6026	0.5156	0.1722
aug_mplexft	3	0	1890	0.4038	0.4375	0.1875	0.1695	0.1821	0.5865	0.4994	0.2201
aug_general	3	0	1890	0.3702	0.4135	0.1538	0.1680	0.2141	0.5615	0.4142	0.1914
aug_mplexft	3	1	1890	0.4231	0.4038	0.1971	0.1464	0.1570	0.6317	0.6184	0.2297
aug_general	3	1	1890	0.4856	0.4471	0.2356	0.1356	0.1641	0.7066	0.6012	0.2249
aug_mplexft	3	2	1890	0.4471	0.4279	0.2212	0.1776	0.1780	0.5384	0.5128	0.2105
aug_general	3	2	1890	0.4231	0.4904	0.1779	0.1517	0.2097	0.5971	0.3664	0.2297
aug_mplexft	3	3	1890	0.4135	0.4038	0.1827	0.1384	0.1991	0.6931	0.4004	0.2105
aug_general	3	3	1890	0.4567	0.4327	0.2308	0.1641	0.1803	0.5755	0.4875	0.2536
aug_mplexft	3	4	1890	0.3942	0.4038	0.1779	0.1477	0.1648	0.6765	0.5358	0.2249
aug_general	3	4	1890	0.3942	0.4856	0.1779	0.1491	0.1681	0.6124	0.5376	0.2105
