mode	K	seed	n_train	row_acc	col_acc	joint_acc	atc_mae	iptg_mae	atc_r2	iptg_r2	best_val_joint	best_val_r2
real	1	0	70	0.2933	0.2933	0.0673	0.1841	0.2407	0.5013	0.1422	0.0957	0.4165
classical	1	0	630	0.3029	0.3654	0.1394	0.1633	0.1806	0.6019	0.5041	0.1340	0.5312
aug_mplexft	1	0	630	0.3606	0.3702	0.1442	0.1387	0.1895	0.6798	0.4283	0.1435	0.5449
aug_general	1	0	630	0.3029	0.3846	0.1106	0.1353	0.1632	0.7092	0.5784	0.1388	0.6349
real	1	1	70	0.3077	0.3413	0.0721	0.1791	0.2456	0.5032	0.1351	0.1244	0.3425
classical	1	1	630	0.3221	0.3846	0.1298	0.1485	0.1827	0.6331	0.5219	0.1435	0.5136
aug_mplexft	1	1	630	0.3846	0.3365	0.1394	0.1618	0.1782	0.6065	0.5137	0.1340	0.5661
aug_general	1	1	630	0.3702	0.3558	0.1250	0.1488	0.1822	0.6431	0.4439	0.1292	0.6190
real	1	2	70	0.3413	0.3365	0.1202	0.1707	0.2032	0.5039	0.3183	0.0957	0.3908
classical	1	2	630	0.3462	0.3558	0.1202	0.1313	0.1938	0.7110	0.4293	0.1196	0.5469
aug_mplexft	1	2	630	0.3702	0.3750	0.1250	0.1337	0.1832	0.6871	0.4912	0.1675	0.5842
aug_general	1	2	630	0.3365	0.3894	0.1298	0.1324	0.1862	0.7283	0.4964	0.1483	0.5922
real	1	3	70	0.2933	0.3365	0.1106	0.1665	0.2382	0.5367	0.1668	0.0957	0.4035
classical	1	3	630	0.3077	0.3654	0.1058	0.1352	0.1822	0.6664	0.4616	0.1531	0.5533
aug_mplexft	1	3	630	0.3750	0.3846	0.1298	0.1478	0.1919	0.6824	0.4582	0.1531	0.5573
aug_general	1	3	630	0.3510	0.3606	0.1010	0.1394	0.1936	0.6939	0.4443	0.1627	0.6221
real	1	4	70	0.3462	0.3702	0.1106	0.1793	0.2405	0.5319	0.1716	0.1196	0.3585
classical	1	4	630	0.3221	0.3750	0.1346	0.1380	0.1951	0.6824	0.4330	0.1340	0.5704
aug_mplexft	1	4	630	0.3846	0.3510	0.1394	0.1333	0.1871	0.7069	0.4306	0.1531	0.5392
aug_general	1	4	630	0.3798	0.3702	0.1346	0.1303	0.1680	0.7294	0.5288	0.1531	0.6092
real	2	0	140	0.3317	0.3750	0.1394	0.1744	0.2082	0.5497	0.3170	0.1914	0.5218
classical	2	0	1260	0.3558	0.4519	0.1683	0.1249	0.1491	0.6992	0.6321	0.2201	0.7012
aug_mplexft	2	0	1260	0.4231	0.3942	0.1875	0.1378	0.1449	0.6994	0.6389	0.1962	0.6513
aug_general	2	0	1260	0.4183	0.4471	0.1731	0.1259	0.1420	0.7213	0.6626	0.2010	0.7063
real	2	1	140	0.3365	0.3894	0.1442	0.1547	0.2004	0.6241	0.4296	0.1627	0.5047
classical	2	1	1260	0.3942	0.4135	0.1538	0.1276	0.1433	0.7143	0.6676	0.2010	0.6862
aug_mplexft	2	1	1260	0.3990	0.4279	0.1683	0.1336	0.1769	0.7130	0.5267	0.1866	0.6851
aug_general	2	1	1260	0.4856	0.4327	0.1971	0.1378	0.1588	0.7071	0.5849	0.2153	0.6795
real	2	2	140	0.3846	0.3510	0.1298	0.1594	0.2211	0.5860	0.3056	0.1866	0.5041
classical	2	2	1260	0.4087	0.4038	0.1731	0.1225	0.1566	0.7321	0.6110	0.2010	0.6839
aug_mplexft	2	2	1260	0.3846	0.4087	0.1442	0.1212	0.1429	0.7434	0.6863	0.1962	0.7179
aug_general	2	2	1260	0.4519	0.4327	0.1875	0.1309	0.1399	0.7095	0.6582	0.2249	0.6917
real	2	3	140	0.3413	0.3702	0.1202	0.1539	0.2044	0.6067	0.3465	0.1818	0.4992
classical	2	3	1260	0.3894	0.4423	0.1827	0.1236	0.1545	0.7277	0.6020	0.2201	0.6757
aug_mplexft	2	3	1260	0.4183	0.3990	0.1923	0.1256	0.1729	0.7365	0.5625	0.1962	0.6859
aug_general	2	3	1260	0.4183	0.4279	0.2019	0.1221	0.1529	0.7414	0.5969	0.2153	0.7092
real	2	4	140	0.3462	0.3894	0.1442	0.1637	0.1955	0.6082	0.4072	0.1579	0.4952
classical	2	4	1260	0.4038	0.4375	0.1779	0.1195	0.1449	0.7515	0.6309	0.1914	0.6901
aug_mplexft	2	4	1260	0.4327	0.3942	0.1971	0.1242	0.1469	0.7388	0.6510	0.1866	0.6919
aug_general	2	4	1260	0.4135	0.4519	0.1971	0.1222	0.1433	0.7354	0.6776	0.1914	0.6821
real	3	0	210	0.3846	0.4423	0.1731	0.1612	0.1974	0.6052	0.4166	0.2057	0.5745
classical	3	0	1890	0.3702	0.4952	0.1827	0.1300	0.1409	0.7232	0.6524	0.2392	0.7397
aug_mplexft	3	0	1890	0.4375	0.4087	0.1683	0.1250	0.1551	0.7211	0.5874	0.2392	0.6939
aug_general	3	0	1890	0.4663	0.4615	0.2067	0.1199	0.1320	0.7630	0.6669	0.2488	0.6844
real	3	1	210	0.3894	0.4471	0.1490	0.1510	0.2093	0.6695	0.3766	0.2010	0.5477
classical	3	1	1890	0.4327	0.4567	0.1971	0.1270	0.1529	0.7187	0.6045	0.2440	0.7056
aug_mplexft	3	1	1890	0.4904	0.4135	0.2212	0.1272	0.1517	0.7193	0.6128	0.2392	0.7125
aug_general	3	1	1890	0.5337	0.5192	0.2644	0.1143	0.1448	0.7732	0.6348	0.2440	0.7029
real	3	2	210	0.4038	0.3750	0.1587	0.1528	0.1814	0.6494	0.4972	0.1914	0.5532
classical	3	2	1890	0.4183	0.4856	0.1827	0.1282	0.1434	0.7275	0.6441	0.2632	0.7258
aug_mplexft	3	2	1890	0.4087	0.4327	0.1923	0.1300	0.1386	0.7055	0.6900	0.2392	0.7251
aug_general	3	2	1890	0.4375	0.4279	0.1731	0.1110	0.1477	0.7690	0.6688	0.2632	0.6862
real	3	3	210	0.3942	0.4279	0.1538	0.1459	0.1892	0.6389	0.4466	0.2010	0.6084
classical	3	3	1890	0.3942	0.4904	0.1827	0.1156	0.1531	0.7546	0.5795	0.2584	0.7250
aug_mplexft	3	3	1890	0.4279	0.4279	0.2067	0.1246	0.1619	0.7469	0.5790	0.2823	0.6940
aug_general	3	3	1890	0.4327	0.4471	0.1923	0.1078	0.1425	0.7864	0.6828	0.2392	0.7058
real	3	4	210	0.3462	0.4471	0.1731	0.1452	0.1677	0.6620	0.5403	0.2488	0.5987
classical	3	4	1890	0.4183	0.5048	0.2260	0.1175	0.1431	0.7556	0.6355	0.2536	0.7341
aug_mplexft	3	4	1890	0.4471	0.4808	0.2067	0.1179	0.1465	0.7573	0.6646	0.2919	0.7024
aug_general	3	4	1890	0.4567	0.4327	0.2067	0.1287	0.1271	0.7291	0.7039	0.2727	0.7139
real	all	0	403	0.4471	0.5000	0.1875	0.1333	0.1357	0.6956	0.7083	0.2488	0.7329
real	all	1	403	0.4231	0.4904	0.1971	0.1310	0.1379	0.7170	0.7039	0.2249	0.7009
real	all	2	403	0.4519	0.4567	0.1923	0.1249	0.1578	0.7381	0.6469	0.2584	0.6767
real	all	3	403	0.4567	0.4904	0.2308	0.1413	0.1557	0.6748	0.6397	0.2344	0.7305
real	all	4	403	0.4231	0.5288	0.2404	0.1238	0.1419	0.7254	0.6765	0.2297	0.6996
