family	model	domain	CMMD	FID	realism_sib	realism_nn_vgg	nn_ssim	nn_orb	copy_rate	base_sib	base_nn
multiplexed	base	mplex	19.7304	313.68	0.8004	0.8622	0.2038	0.0828	0.0	0.2703	0.2108
multiplexed	ft_2species	mplex	14.5618	222.27	0.656	0.6512	0.2623	0.1046	0.0	0.2703	0.2108
multiplexed	ft_rattray	mplex	20.0064	337.96	0.7605	0.8151	0.1651	0.0681	0.0	0.2703	0.2108
multiplexed	mplex_ft_epoch=0	mplex	21.4056	166.8	0.5568	0.5479	0.3933	0.0816	0.0	0.2703	0.2108
multiplexed	mplex_ft_epoch=1	mplex	14.4292	146.66	0.5069	0.508	0.4672	0.0843	0.0	0.2703	0.2108
multiplexed	mplex_ft_epoch=2	mplex	12.5705	105.25	0.4117	0.4535	0.4996	0.0731	0.0	0.2703	0.2108
multiplexed	mplex_ft_epoch=3	mplex	15.2533	121.61	0.4774	0.4885	0.5173	0.0796	0.0	0.2703	0.2108
multiplexed	mplex_ft_epoch=4	mplex	13.2934	107.29	0.4636	0.4701	0.488	0.0777	0.0	0.2703	0.2108
multiplexed	mplex_ft_epoch=5	mplex	12.942	132.34	0.5084	0.5117	0.4922	0.082	0.0	0.2703	0.2108
generalist	base	pakp	32.9251	243.53	0.5576	0.4993	0.3302	0.1315	0.0	0.1764	0.1599
generalist	base	kl2	29.7289	360.24	0.808	0.8702	0.2885	0.1198	0.0	0.2807	0.247
generalist	base	ff	39.2991	262.49	0.6855	0.5921	0.2938	0.0989	0.0	0.2528	0.2449
generalist	base	nlev	32.7926	266.81	0.5765	0.523	0.3388	0.1361	0.0	0.2617	0.2395
generalist	base	selx	36.7239	262.15	0.6785	0.6021	0.3077	0.0925	0.0	0.2491	0.2491
generalist	base	mplex	19.7304	313.68	0.8004	0.8622	0.2038	0.0828	0.0	0.2703	0.2108
generalist	gen_epoch=0	pakp	13.2715	224.41	0.6579	0.5788	0.3027	0.093	0.0	0.1764	0.1599
generalist	gen_epoch=0	kl2	19.141	256.58	0.6585	0.771	0.2756	0.1138	0.0	0.2807	0.247
generalist	gen_epoch=0	ff	13.6414	164.32	0.5863	0.6169	0.1525	0.1268	0.0	0.2528	0.2449
generalist	gen_epoch=0	nlev	14.3019	229.67	0.668	0.6191	0.1926	0.0562	0.0	0.2617	0.2395
generalist	gen_epoch=0	selx	13.6763	178.25	0.6018	0.6244	0.1462	0.1419	0.0	0.2491	0.2491
generalist	gen_epoch=0	mplex	16.1452	276.17	0.6251	0.7203	0.2238	0.0649	0.0	0.2703	0.2108
